sample	N2L	N2S	N3L	N3S	N4L	N4S	NE3L	NE3S	NE4L	NE4S	NE5L	NE5S	NW3L	NW3S	NW4L	NW4S	NW5L	NW5S	W3L	W3S	W4S	W5L	W5S
NW3L	49.8740457908993	144.812977064057	53.856409559602	153.673443142489	48.0391688735749	150.858640053553	43.1796932176733	151.667303739515	54.5568198028166	146.78353979126	65.2662898746159	156.092946018825	0	156.656245248501	40.6790191235871	150.072706026873	64.7212507186413	148.987690319866	52.2420405652551	177.575333252757	173.212765692431	46.0237552702056	181.892173446926
NW3S	156.080497214643	59.1740913162597	159.317975042076	79.1115807371146	153.846213784352	67.2131259591807	160.436174154833	66.4822973032445	146.380926512039	78.5611132134577	152.485788357512	88.0440534311723	156.656245248501	0	154.024936077161	42.8999874162611	144.304669193903	68.1479058743825	167.677588662882	113.452772695518	138.009551780261	150.447993524682	104.981847989036
NW4L	43.4914858362469	141.912122257521	47.2586220846976	149.426779578701	37.7993563685336	147.457698624102	38.7364663303875	149.41085184582	45.6675764816149	142.846490089308	58.9781773441404	151.725299502617	40.6790191235871	154.024936077161	0	147.341537948382	54.9970319493206	144.900723064208	48.1341804794951	174.221220016432	170.394429721017	35.4481281480729	175.179244229828
NW4S	149.763537792855	49.689179682641	152.404075391838	70.9943294521989	147.139556945612	56.9882711617878	152.709722327323	60.4587685782498	138.967130965489	69.4020535608142	144.919169405743	81.1561621213081	150.072706026873	42.8999874162611	147.341537948382	0	137.57619590117	58.2221098529746	161.010206328097	111.657411583098	132.369041085158	143.889569347942	102.368896371405
NW5L	68.3478382174757	132.594462618067	58.4362407009453	132.692508561453	52.5547939744307	132.631241451803	69.5527227005803	142.76155262512	55.5136676157188	126.429766795576	61.6839795651679	131.269026530701	64.7212507186413	144.304669193903	54.9970319493206	137.57619590117	0	132.67955749743	73.6066326658003	154.733822421124	150.014256694165	48.1872635344449	156.897897136564
NW5S	149.518823197561	62.7167710812648	148.242932164283	67.8676855919081	143.916120002003	61.0592319375242	150.06782043662	63.1808367926334	136.566814536231	60.0023627554925	139.609220148362	78.718517190747	148.987690319866	68.1479058743825	144.900723064208	58.2221098529746	132.67955749743	0	156.105087328876	115.282583318563	125.762121503141	141.339511851436	100.984444643499
W3L	58.0874433499349	154.53870496443	50.1689002749781	163.121683369226	53.9045494887154	161.437118705589	43.6442364558502	160.329057853116	63.2524919204477	156.616106631796	62.1391798691113	165.928705222057	52.2420405652551	167.677588662882	48.1341804794951	161.010206328097	73.6066326658003	156.105087328876	0	183.134229956595	177.657588050341	53.5721529701046	189.933938861707
W3S	174.39785895545	114.693550991429	172.666730344754	109.563390043872	171.178851915106	108.328200112384	180.892264076393	116.947648623389	164.398463203307	103.295302413494	167.125506601734	92.116535595832	177.575333252757	113.452772695518	174.221220016432	111.657411583098	154.733822421124	115.282583318563	183.134229956595	0	108.505397971432	167.3561016258	120.508945388691
W4S	173.026231379374	130.550469494823	164.339310656612	111.342642846066	165.162938998299	119.741699222995	177.44840746682	141.172824088006	160.081955337761	110.674001459156	156.933774098246	100.939853824859	173.212765692431	138.009551780261	170.394429721017	132.369041085158	150.014256694165	125.762121503141	177.657588050341	108.505397971432	0	161.356424159992	127.782811338558
W5L	47.8823316070846	138.806556308379	40.8975022031789	142.562294891614	34.3402686268565	141.978138031965	48.3765087600985	147.83519201013	42.8568413359232	137.174826621649	49.7090446846116	144.759530920654	46.0237552702056	150.447993524682	35.4481281480729	143.889569347942	48.1872635344449	141.339511851436	53.5721529701046	167.3561016258	161.356424159992	0	170.126246892524
W5S	180.074947825811	109.085028861531	178.076850675314	93.9335057948863	174.161551510884	95.7289816396085	184.90159887723	118.683623569536	167.892559931973	95.1567344891217	171.290651722708	88.4056737333927	181.892173446926	104.981847989036	175.179244229828	102.368896371405	156.897897136564	100.984444643499	189.933938861707	120.508945388691	127.782811338558	170.126246892524	0
