tx	gene_id	N2L	N2S	N3L	N3S	N4L	N4S	NE3L	NE3S	NE4L	NE4S	NE5L	NE5S	NW3L	NW3S	NW4L	NW4S	NW5L	NW5S	W3L	W3S	W4S	W5L	W5S
rna-XM_043155988.1	gene-E1B28_011000	247.052251	183.496701	145.546894	748.814686	183.934495	273.968574	210.949507	72.327621	196.155597	238.706934	178.700252	254.161844	224.847249	242.335391	298.428183	203.423906	348.240307	236.467494	132.022052	385.129633	549.707441	221.481272	225.58848
rna-XM_043155989.1	gene-E1B28_011001	10.866089	50.43523	20.003577	7.719068	22.102319	12.444236	11.915138	25.390379	25.36307	19.902903	42.589611	28.739038	16.07365	16.015044	10.555525	22.111529	11.916303	14.686999	19.353634	9.655906	31.820674	24.303662	7.758117
rna-XM_043155990.1	gene-E1B28_011002	29.302607	20.716373	27.750382	21.363942	33.089076	18.122165	33.404185	19.44135	36.650324	24.045176	36.055799	19.582965	27.195096	17.388143	29.75191	20.143402	28.22192	26.946204	31.915162	8.71002	17.397246	32.523132	14.384742
rna-XM_043155991.1	gene-E1B28_011002	0.090222	0	0.165448	0	1.79525	0	0.163102	0	0	0	0	0	0.293755	0	0	0	0	0	0	0.961628	4.16311	0.133901	0
rna-XM_043155992.1	gene-E1B28_011003	0.818256	0.448889	1.886728	0.787162	0.798457	0.348095	0.77199	0.316362	1.113247	0.312809	1.341818	0.474195	0.873146	0.155399	0.709995	0.473314	0.977361	0.509817	1.216824	0.213297	1.099576	0.470707	0.133743
rna-XM_043155993.1	gene-E1B28_011003	1.06661	0	0.435676	0.11376	1.001977	0	1.185597	0.096336	0.866763	0.30729	0.310875	0	0.497226	0.086906	1.025981	0.113101	0.539251	0.215387	0.378053	0	1.858165	0.831864	0
rna-XM_043155994.1	gene-E1B28_011004	17.801859	24.909791	11.104503	14.638309	13.464377	18.856994	15.481064	17.980828	17.471828	15.087613	17.704709	12.775149	12.480499	19.490119	13.731669	26.334856	11.551278	19.4297	14.819061	10.009041	8.876239	12.650366	9.588885
rna-XM_043155995.1	gene-E1B28_011005	4.621859	2.453443	6.177761	2.995542	5.028554	2.242694	4.792809	2.447999	3.484973	2.064804	4.668719	1.830808	4.283029	1.318587	4.500807	1.767468	3.616518	2.755053	6.318485	3.151923	0.510253	4.181476	2.232044
rna-XM_043155996.1	gene-E1B28_011006	11.971143	18.705662	11.11564	14.881425	13.636119	13.829589	12.850504	30.835672	11.355498	15.603025	11.236875	12.244643	12.74751	12.430806	11.852423	15.845528	10.788121	17.819393	11.9939	19.223385	13.979616	11.183213	10.007703
rna-XM_043155997.1	gene-E1B28_011007	30.239508	21.043172	28.773746	19.626379	27.704683	16.453669	27.451402	23.050411	27.301883	23.341546	28.975576	24.094174	27.567863	13.587557	28.954855	18.488044	31.559072	23.468937	21.711118	26.289078	26.53847	31.190444	13.735746
rna-XM_043155998.1	gene-E1B28_011007	0	0	0	0	0	1.83397	0	0.405484	1.906431	0.901102	0	0.644735	0	0	1.275212	0	0	0	10.603358	0.61174	0	0	0
rna-XM_043155999.1	gene-E1B28_011008	17.29333	16.860095	12.810678	11.685489	15.36126	13.069237	12.098601	12.877379	16.268307	15.285234	16.775389	13.069589	18.931348	11.735754	19.483562	13.682595	18.046741	13.137799	17.237729	11.902021	13.659134	19.518532	7.665756
rna-XM_043156000.1	gene-E1B28_011009	0.143584	0.750666	0	0.168415	0.178981	0	0.153955	0.154728	0	0	0	0	0.596161	0	0	0	0	0	0.305321	0	0	0	0
rna-XM_043156001.1	gene-E1B28_011010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043156002.1	gene-E1B28_011011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043156003.1	gene-E1B28_011012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043156004.1	gene-E1B28_011013	237.935538	398.776041	243.565758	327.052763	229.826512	326.915355	225.44334	491.805573	216.21714	372.81208	307.479572	325.183672	232.647048	347.617551	269.689151	376.731575	286.462368	589.740002	312.06313	269.73926	362.352586	246.227984	819.929802
rna-E1B28_011014	gene-E1B28_011014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-E1B28_011015	gene-E1B28_011015	0	0	0	0	0	9.159515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043156005.1	gene-E1B28_011016	11.163795	8.454024	10.34695	6.415463	10.414792	5.925799	9.633829	15.063068	9.113372	7.922577	10.826396	4.62155	9.667407	7.876945	9.560029	6.550758	7.560481	8.151082	10.566867	6.21457	5.899196	10.762538	6.272037
rna-XM_043156006.1	gene-E1B28_011017	9.494713	15.929474	9.536548	21.554409	8.271787	14.633617	9.981174	8.165008	18.596619	17.607748	13.94343	24.312924	10.877234	10.215365	6.628869	12.628481	11.810752	24.176438	14.567942	13.720469	18.177464	17.327391	33.408713
rna-XM_043156007.1	gene-E1B28_011018	9.1197	10.610096	9.725148	7.346439	11.006332	6.947951	3.201813	4.574786	5.866406	18.313538	6.331865	14.87297	13.164565	1.37257	6.313564	1.251641	3.807454	21.325974	1.21684	16.706419	35.587787	6.336255	6.170886
rna-XM_043156008.1	gene-E1B28_011019	111.62026	92.838127	116.816884	82.32563	100.457331	76.22874	112.940958	69.449867	94.756701	106.424195	79.319248	88.933706	138.578686	93.210226	107.921423	79.442758	96.778356	99.822839	106.712253	196.039448	126.920253	109.906297	126.362723
rna-XM_043156009.1	gene-E1B28_011020	121.314712	205.42101	81.723522	130.919952	97.27137	158.07607	79.349083	200.911114	108.827379	155.305741	107.890887	156.938724	90.205596	266.953534	98.047859	204.223024	101.032484	153.447642	82.20766	216.928284	123.018659	101.452496	152.057793
rna-XM_043156010.1	gene-E1B28_011021	91.335408	69.749816	59.193963	60.23918	69.148816	58.756478	53.516919	68.195298	80.19014	56.862561	71.842149	50.362699	47.280824	58.467869	57.629222	71.722769	40.766303	62.306279	42.46515	31.67409	36.417779	62.132786	37.793982
