gene_id	gene_name	N2L	N2S	N3L	N3S	N4L	N4S	NE3L	NE3S	NE4L	NE4S	NE5L	NE5S	NW3L	NW3S	NW4L	NW4S	NW5L	NW5S	W3L	W3S	W4S	W5L	W5S
MarorCopia-2	MarorCopia-2	9126.238	9159.481	9139.665	9150.649	9134.989	9159.274	9160.968	9150.738	9160.992	9168.086	9155.501	9160.245	9134.619	9102.826	9136.569	9149.949	9140.783	9158.676	9151.711	9164.365	9166.765	9136.603	9163.801
MarorCopia-20	MarorCopia-20	4969.274	4969.274	4969.274	4969.274	4969.274	4969.274	4969.274	4969.274	4969.274	4969.274	4969.274	4969.274	4969.274	4969.274	4969.274	4969.274	4969.274	4969.274	4969.274	4969.274	4969.274	4969.274	4969.274
MarorCopia-3	MarorCopia-3	4615.238	4648.481	4628.665	4634.65995229162	4623.989	4648.274	4649.968	4634.65995229162	4649.992	4634.65995229162	4634.65995229162	4649.245	4623.619	4591.826	4625.569	4634.65995229162	4629.783	4647.676	4634.65995229162	4653.365	4634.65995229162	4634.65995229162	4634.65995229162
MarorCopia-4	MarorCopia-4	4515.238	4537.54419061858	4528.665	4539.649	4523.989	4548.274	4549.968	4537.54419061858	4549.992	4557.086	4544.501	4549.245	4523.619	4537.54419061858	4525.569	4538.949	4529.783	4547.676	4540.711	4537.54419061858	4537.54419061858	4525.603	4537.54419061858
MarorCopia-5	MarorCopia-5	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783	4931.28230434783
MarorCopia-6	MarorCopia-6	5735.238	5768.481	5748.665	5759.649	5743.989	5768.274	5769.968	5759.738	5769.992	5777.086	5764.501	5769.245	5743.619	5711.826	5745.569	5758.949	5749.783	5767.676	5760.711	5773.365	5775.765	5745.603	5772.801
MarorCopia-7	MarorCopia-7	6246.13117523605	6252.481	6246.13117523605	6243.649	6246.13117523605	6252.274	6253.968	6243.738	6246.13117523605	6261.086	6246.13117523605	6253.245	6246.13117523605	6195.826	6246.13117523605	6242.949	6246.13117523605	6251.676	6246.13117523605	6246.13117523605	6246.13117523605	6246.13117523605	6256.801
MarorCopia-8	MarorCopia-8	3993.4441184717	3993.4441184717	3993.4441184717	3993.649	3977.989	4002.274	3993.4441184717	3993.738	3993.4441184717	4011.086	3998.501	4003.245	3993.4441184717	3945.826	3993.4441184717	3992.949	3993.4441184717	4001.676	3993.4441184717	4007.365	3993.4441184717	3993.4441184717	3993.4441184717
MarorCopia-9	MarorCopia-9	6445.238	6478.481	6458.665	6469.649	6453.989	6478.274	6466.44207452328	6466.44207452328	6466.44207452328	6487.086	6466.44207452328	6479.245	6466.44207452328	6421.826	6455.569	6468.949	6459.783	6477.676	6470.711	6483.365	6485.765	6455.603	6466.44207452328
MarorDileera-1	MarorDileera-1	2450.36840703303	2456.481	2436.665	2447.649	2431.989	2456.274	2457.968	2447.738	2457.992	2465.086	2452.501	2457.245	2431.619	2450.36840703303	2433.569	2446.949	2437.783	2455.676	2448.711	2461.365	2463.765	2450.36840703303	2460.801
MarorDileera-2	MarorDileera-2	2836.238	2869.481	2849.665	2860.649	2844.989	2869.274	2870.968	2860.738	2870.992	2878.086	2865.501	2870.245	2844.619	2812.826	2846.569	2859.949	2850.783	2868.676	2861.711	2874.365	2876.765	2846.603	2873.801
