gene_id	gene_name	N2L	N2S	N3L	N3S	N4L	N4S	NE3L	NE3S	NE4L	NE4S	NE5L	NE5S	NW3L	NW3S	NW4L	NW4S	NW5L	NW5S	W3L	W3S	W4S	W5L	W5S
MarorGypsy-6	MarorGypsy-6	4	6	30.326	17.902	12.074	28	9.247	10	7	18.025	18	23	17.019	5	10.128	5	11	4.657	10.557	30.593	18.007	6	0
MarorGypsy-7	MarorGypsy-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MarorGypsy-8	MarorGypsy-8	724	203	671	266	564	345	577	398	340	252	449	157	467	291	597	351	372	243	753	175	67	595	169
MarorGypsy-9	MarorGypsy-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorHarbinger-1	MarorHarbinger-1	2646	1623	3379	3380	2687	3588	3354	3815	1866	2666	2149	2867	2610	3000	3637	2915	1849	2211	3829	2955	822	3087	1737
MarorHarbinger-2	MarorHarbinger-2	44	15	30	38	21	45	35	50	11	28	22	21	28	27	25	45	17	31	29	17	3	15	7
MarorHarbinger-3	MarorHarbinger-3	3	0	0	1	0	0	0	2	1	1	0	0	1	0	0	4	2	0	1	1	0	0	0
MarorHarbinger-4	MarorHarbinger-4	1	0	6	2	2	2	5	3	0	2	6	3	4	1	0	5	1	0	1	0	1	1	0
MarorHarbinger-5	MarorHarbinger-5	2	5	2	19	4	16	1	41	5	53	1	6	3	19	1	6	0	10	0	18	0	3	4
MarorhAT-1	MarorhAT-1	671	213	603	456	538	511	658	755	346	306	457	260	504	650	741	556	443	227	925	478	56	613	145
MarorhAT-10	MarorhAT-10	405.734	305.288	314.392	672.186	257.606	753.489	246.589	556.078	196.982	531.483	216.775	485.568	210.272	521.954	253.838	400.721	146.115	299.034	285.13	284.307	148.295	239.274	176.007
MarorhAT-11	MarorhAT-11	16	20	38	132	22	88	12	17	23	52	20	82	17	59	34	35	29	22	9	48	35	24	33
MarorhAT-12	MarorhAT-12	1	0	6	1	1	1	2	2	1	1	3	2	2	2	0	1	1	0	2	1	0	2	0
MarorhAT-13	MarorhAT-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorhAT-2	MarorhAT-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorhAT-3	MarorhAT-3	9	3	2	13	1	16	3	6	2	9	6	9	4	10	4	8	6	5	7	7	0	2	37
MarorhAT-4	MarorhAT-4	90.266	99.712	136.608	199.814	92.394	296.511	197.411	214.922	56.018	145.517	85.225	146.432	174.728	175.046	126.162	167.279	84.885	119.966	170.87	70.693	49.705	107.726	47.993
