gene_id	gene_name	N2L	N2S	N3L	N3S	N4L	N4S	NE3L	NE3S	NE4L	NE4S	NE5L	NE5S	NW3L	NW3S	NW4L	NW4S	NW5L	NW5S	W3L	W3S	W4S	W5L	W5S
MarorGypsy-26	MarorGypsy-26	7.83442679269982	8.03750979259607	46.5232561398386	34.7933837038987	21.6235068338067	44.5676368488665	22.7918250335751	18.8656851532957	22.8339048866322	22.4351630678034	20.1214272179819	39.3829100102513	23.1386867264328	11.1466263620686	21.9123881094751	13.7439734455723	13.1754590276399	22.6915989379532	20.098327924314	27.0619988647111	14.1271528857651	21.1633210557129	26.2854627161353
MarorGypsy-27	MarorGypsy-27	25.8283918181734	20.0660038775895	34.8759260490396	25.0118318559612	28.8606824335346	45.1529027399371	29.1353162556645	31.0140822139511	20.0805412222647	24.1606772506738	38.0968483283689	16.06626718499	16.9082940587931	9.861939681945	31.8612919705232	26.0084529903447	13.9579740390526	33.1058750253801	28.0153191056795	18.1005075043251	3.0224019855571	43.8145131250695	11.0557697858652
MarorGypsy-28	MarorGypsy-28	0	0	0	4.0055898966729	0	1.27359767430915	0	4.00552239390925	0	1.5141882784137	0	3.01590268156732	0	0	0	0	0	0	1.00149691568806	9.06159594590315	0	4.98183554239362	1.00631596172592
MarorGypsy-29	MarorGypsy-29	430.910368591667	168.081234519587	262.767423879313	478.045633120761	299.745936232375	580.369885555852	266.382058143524	887.045909948559	184.145869468133	286.42992111329	178.147673752369	316.351535143317	266.643123479045	914.193697186555	292.76102622129	618.086971728282	169.889431669099	306.187720342279	239.970203341594	304.43094382385	48.1264392600347	254.82002644221	134.142125535788
MarorGypsy-3	MarorGypsy-3	7.93281619411278	32.1312554571885	2.98710949029167	116.067332093134	2.98223883631189	160.669315416056	3.01675711396158	158.089815259907	4.0197918071152	147.193807466588	1.00303719385616	63.3152495406202	6.9542266774418	201.430916482157	1.98934412317537	196.07397225849	6.97433398355701	55.2170600456001	4.00295058416438	94.6365076366777	26.2300021710247	2.9843810337229	57.3541216856797
MarorGypsy-30	MarorGypsy-30	1.9845028600601	2.0076003469945	5.65072752749206	2.09948639001905	4.8988052047049	1.0038870328814	2.01048937411222	6.00297792492946	2.00921305847039	8.03618332384087	4.01136028264291	4.01872827560613	5.94388806964892	2.95126537495538	2.16139675962695	0	0	2.35173854495125	7.44744182608364	3.42873169451291	11.0847319138594	4.97544947061091	0
MarorGypsy-4	MarorGypsy-4	27.8286047174506	144.73146759637	52.7819815484263	788.558458434754	49.7554079901235	664.000625372449	6.02842949871378	64.7932901004238	9.89694061848586	287.695179047414	44.0882749417056	670.202511656888	34.7925077855817	308.479334166834	20.8809869473371	274.843898529262	26.9175392704434	26.0988736985996	67.9953619918933	374.305636324697	338.528221367975	43.800284838648	321.745696735445
MarorGypsy-5	MarorGypsy-5	1802.10279140087	1659.02512110924	1456.18063368426	4215.84658353895	1509.27172518787	4370.68567988377	1656.19871074916	3767.57004460487	1237.59423587816	3102.14811983682	1078.57043534368	2988.49072364218	1187.01195322941	3615.78266611569	1794.7755482282	3714.14361859625	1215.60615797332	2974.80007265235	1292.62634112385	2830.63108784075	458.192681176994	1532.01569953983	1573.35486399715
MarorGypsy-6	MarorGypsy-6	3.9670970580043	6.02353609784825	30.1975276710725	17.9106560065086	12.0035605450282	28.1121853933048	9.29714808175737	10.0049366273311	7.03325537827343	18.1671045530332	18.0522999711271	23.1107602546111	16.9097639433392	4.91538408827649	10.0754083503658	5.00156000772516	10.9601430385371	4.67444108535937	10.5641973137813	30.7927557530164	18.1615682994426	5.969317273764	0
MarorGypsy-7	MarorGypsy-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00731104293808
MarorGypsy-8	MarorGypsy-8	718.374331725281	203.775737793101	668.29312481459	266.144431627307	560.880852435064	346.348436288643	580.037315083438	398.210353684589	341.572773875624	253.929866904399	450.286969483671	157.738268002905	464.132989733814	286.299432168509	594.0264106569	351.126053811752	370.722443709807	243.896267611358	753.505264011058	176.112273717465	67.5603705653848	592.108184384836	169.98237741614
MarorGypsy-9	MarorGypsy-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorHarbinger-1	MarorHarbinger-1	2679.93991564134	1614.71841512756	3394.1375023753	3377.77158753043	2706.24617700578	3570.64408091725	3337.35953577313	3812.13003146976	1855.52472917075	2642.74931288141	2143.43236692257	2852.97583772392	2627.95499333205	3078.03708365396	3659.90449511781	2914.33584865596	1856.55495717788	2200.97034594168	3823.39437565486	2934.87020093288	816.332738952516	3106.72191396479	1725.07912480187
MarorHarbinger-2	MarorHarbinger-2	47.0576926163452	14.6544567885537	30.503842193788	37.627433207733	21.9618422475853	43.4055121344544	33.7922292353918	49.8090428678624	10.6554575308195	26.4804888856971	21.4071052626788	20.3478162080515	29.4536511464459	32.0925966181986	26.0472657421871	44.6446504034761	17.6170984460105	30.2927170639664	28.9008432143435	16.26286362995	2.8588492515005	15.6155771049474	6.70132574159283
MarorHarbinger-3	MarorHarbinger-3	3.2171943045393	0	0	0.990886099436372	0	0	0	1.99450779736261	0.96964087900311	0.94676430120684	0	0	1.05462125046192	0	0	3.97270585004424	2.0700933462588	0	0.99777548606576	0.958002862247278	0	0	0
MarorHarbinger-4	MarorHarbinger-4	1.03039499016864	0	6.04480559684801	1.98248392716047	2.03375180383699	1.9592012591107	4.89015443367531	2.97654313114585	0	1.93503604418818	5.91457304746409	2.93641682633337	4.06415271703191	1.07410431408531	0	4.96808009437682	1.00755516730604	0	0.990576361937545	0	0.970554884689793	1.01337235696924	0
MarorHarbinger-5	MarorHarbinger-5	1.99469825780113	5.00638760830025	1.99597860251657	19.0006844115937	3.99028033333674	16.0225908800208	1.00237438771548	41.0000400984144	5.0086629109668	53.1656564574501	1.00123976641868	6.01188353133363	2.99113487120787	18.8927659375037	0.997755726005001	6.00008081488137	0	10.0132992154537	0	18.0482851539319	0	2.99360641916357	4.00908372271498
MarorhAT-1	MarorhAT-1	665.486033050451	213.856490901931	600.45457816276	456.259770024804	534.875154180705	513.097246922839	661.614473094741	755.420510566356	347.679923771706	308.456437269619	458.365514349631	261.278471741246	500.762255904765	638.918161824148	737.125950543011	556.20691655718	441.405295014715	227.879006506573	925.66456721811	481.179572011247	56.4876158187518	609.869529789037	145.884159823793
MarorhAT-10	MarorhAT-10	404.513069232039	305.810384439723	313.748513011855	672.361165497842	256.941894604679	754.876862773317	247.290277049309	556.204469150445	197.415948781225	533.483734332941	217.117480300556	486.750056191004	209.617647838632	518.525128042956	253.240395091735	400.80956089807	145.869276578892	299.555490333151	285.178044651579	285.226368241126	148.997940395179	238.737366098199	176.501350231151
MarorhAT-11	MarorhAT-11	16.6323842805056	19.6821595632695	38.5537573075087	131.552558498775	22.5467444429204	86.5915789846483	11.791414256537	16.9500008346618	22.5847958056756	50.4714974564508	19.8202923151016	80.6449712836037	17.3963123818316	64.1507274003757	34.7510198725999	34.9331169651538	29.4269950017323	21.6821201481379	8.96664770499446	46.9014116098302	34.0430408239416	24.5054786119078	32.2631219981554
MarorhAT-12	MarorhAT-12	1.03733438255774	0	6.05853144055197	0.991652608177175	1.02136870088623	0.978459859192642	1.95400088269047	1.98467382140783	0.975798641257114	0.963980930115339	2.95768663653682	1.9544705432294	2.04025664709187	2.17519729526093	0	0.993155508786749	1.01008543483333	0	1.98305973339872	0.970803075164486	0	2.03488042059628	0
MarorhAT-13	MarorhAT-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorhAT-2	MarorhAT-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorhAT-3	MarorhAT-3	9.36873085521513	2.94419660221962	2.02571088734005	12.9291792191486	1.02474805428485	15.6989844381898	2.93920647670058	5.9718386425903	1.95705492269857	8.69887905293282	5.93257853351901	8.81982736534557	4.09407372976708	10.9202805178924	4.08864474263739	7.96896985521139	6.07990615909816	4.91465519487164	6.96141269204971	6.81292782166135	0	2.04126316997918	36.0339986363836
MarorhAT-4	MarorhAT-4	94.2462248315859	98.0161794109197	138.692393814731	199.110848737948	94.9179436982211	291.375422711019	193.707681210327	214.331236218767	54.90021056413	140.820162048607	84.4174434444359	143.726596925028	179.307953230698	191.920851809876	129.027951933813	166.959090907229	86.2205960460874	118.113701202054	170.256044826819	68.900543549968	48.1853159203748	110.229208926061	46.8072081700216
MarorhAT-5	MarorhAT-5	15.5513847453127	16.7426436100857	21.2825632795193	15.9512682286761	10.2301561329819	18.7172585328968	25.5714118930731	15.9665031939396	14.7427081300409	21.4024210048916	22.8016504591269	16.7331710370361	21.452630620768	15.137275314742	20.4089151715841	12.9886701123062	14.189491211217	6.90358351358866	22.9143826052373	2.93499980186899	1.95182105630513	20.3890878469055	3.91534861859874
MarorhAT-6	MarorhAT-6	17.5828199460604	4.93107704576865	21.2675943448657	8.98387254443069	12.2422830241796	6.90627411353527	25.6127815161833	4.99018425352472	6.8910876900696	8.77972372981306	6.94461589228707	8.87204102986139	12.2359539039439	7.50103223613583	12.2142393747258	6.99466658678254	13.1529562838322	6.91216552041269	19.9292499981747	0.980454045135833	0.978401271579292	15.2683966829084	2.94261027266097
